"lat","lon","depth","starttime","energy","duration","date","day_of_year"
41.02,-122.78,20," 2011-06-03 16:22:30",0," None ",2011-06-03,154
44.8,-123.155,53," 2011-06-08 11:15:00",0," None ",2011-06-08,159
48.415,-123.875,54," 2011-08-25 07:00:00",0," None ",2011-08-25,237
48.52,-123.73,20," 2011-08-26 21:50:00",0," None ",2011-08-26,238
48.99,-124.51,20," 2011-06-03 00:00:00",0," None ",2011-06-03,154
40.74,-123.01,20," 2011-06-03 00:00:00",0," None ",2011-06-03,154
48.96,-124.48,20," 2011-06-03 00:02:30",0," None ",2011-06-03,154
40.705,-123.05,24," 2011-06-03 00:02:30",0," None ",2011-06-03,154
40.8,-123.03,20," 2011-06-03 00:07:30",0," None ",2011-06-03,154
40.8,-123.07,20," 2011-06-03 00:17:30",0," None ",2011-06-03,154
48.96,-124.48,20," 2011-06-03 00:20:00",0," None ",2011-06-03,154
48.94,-124.46,20," 2011-06-03 00:22:30",0," None ",2011-06-03,154
40.76,-123.01,20," 2011-06-03 00:27:30",0," None ",2011-06-03,154
48.99,-124.645,20," 2011-06-03 00:30:00",0," None ",2011-06-03,154
40.735,-123.01,20," 2011-06-03 00:30:00",0," None ",2011-06-03,154
48.96,-124.64,20," 2011-06-03 00:32:30",0," None ",2011-06-03,154
40.73,-122.99,20," 2011-06-03 00:32:30",0," None ",2011-06-03,154
48.92,-124.67,20," 2011-06-03 00:35:00",0," None ",2011-06-03,154
40.73,-123.015,20," 2011-06-03 00:35:00",0," None ",2011-06-03,154
40.74,-122.99,20," 2011-06-03 00:40:00",0," None ",2011-06-03,154
48.91,-124.63,20," 2011-06-03 00:42:30",0," None ",2011-06-03,154
40.71,-122.94,20," 2011-06-03 00:42:30",0," None ",2011-06-03,154
49.02,-124.53,34," 2011-06-03 00:45:00",0," None ",2011-06-03,154
41.49,-123.72,20," 2011-06-03 00:45:00",0," None ",2011-06-03,154
40.7,-123.07,29.5," 2011-06-03 00:47:30",0," None ",2011-06-03,154
48.9,-124.74,28," 2011-06-03 00:50:00",0," None ",2011-06-03,154
40.68,-123.04,39," 2011-06-03 00:50:00",0," None ",2011-06-03,154
40.71,-122.91,20," 2011-06-03 01:00:00",0," None ",2011-06-03,154
40.67,-122.94,20," 2011-06-03 01:02:30",0," None ",2011-06-03,154
40.81,-123.07,20," 2011-06-03 01:07:30",0," None ",2011-06-03,154
48.9,-124.78,20," 2011-06-03 01:17:30",0," None ",2011-06-03,154
48.91,-124.67,22," 2011-06-03 01:22:30",0," None ",2011-06-03,154
40.92,-122.785,43," 2011-06-03 01:22:30",0," None ",2011-06-03,154
48.92,-124.69,21," 2011-06-03 01:25:00",0," None ",2011-06-03,154
40.89,-122.78,44," 2011-06-03 01:25:00",0," None ",2011-06-03,154
48.92,-124.69,23," 2011-06-03 01:27:30",0," None ",2011-06-03,154
48.86,-124.725,25.5," 2011-06-03 01:30:00",0," None ",2011-06-03,154
48.87,-124.675,26," 2011-06-03 01:32:30",0," None ",2011-06-03,154
48.91,-124.695,20," 2011-06-03 01:35:00",0," None ",2011-06-03,154
48.92,-124.68,20," 2011-06-03 01:37:30",0," None ",2011-06-03,154
48.89,-124.72,20," 2011-06-03 01:40:00",0," None ",2011-06-03,154
40.86,-122.69,40," 2011-06-03 01:40:00",0," None ",2011-06-03,154
48.89,-124.74,20," 2011-06-03 01:42:30",0," None ",2011-06-03,154
40.74,-122.5,51," 2011-06-03 01:42:30",0," None ",2011-06-03,154
48.9,-124.77,20," 2011-06-03 01:45:00",0," None ",2011-06-03,154
48.92,-124.73,20," 2011-06-03 01:47:30",0," None ",2011-06-03,154
48.93,-124.75,20," 2011-06-03 01:50:00",0," None ",2011-06-03,154
40.79,-123.11,26," 2011-06-03 01:50:00",0," None ",2011-06-03,154
48.91,-124.71,20," 2011-06-03 01:52:30",0," None ",2011-06-03,154
48.91,-124.59,20," 2011-06-03 01:55:00",0," None ",2011-06-03,154
48.94,-124.57,30," 2011-06-03 01:57:30",0," None ",2011-06-03,154
48.86,-124.69,20," 2011-06-03 02:00:00",0," None ",2011-06-03,154
48.88,-124.68,20," 2011-06-03 02:02:30",0," None ",2011-06-03,154
48.89,-124.68,20," 2011-06-03 02:05:00",0," None ",2011-06-03,154
48.88,-124.69,20," 2011-06-03 02:07:30",0," None ",2011-06-03,154
40.86,-122.7,42," 2011-06-03 02:07:30",0," None ",2011-06-03,154
48.87,-124.7,20," 2011-06-03 02:10:00",0," None ",2011-06-03,154
40.925,-122.635,60," 2011-06-03 02:10:00",0," None ",2011-06-03,154
48.81,-124.72,20," 2011-06-03 02:12:30",0," None ",2011-06-03,154
40.91,-122.73,50," 2011-06-03 02:12:30",0," None ",2011-06-03,154
48.81,-124.79,20," 2011-06-03 02:15:00",0," None ",2011-06-03,154
40.89,-122.74,42," 2011-06-03 02:15:00",0," None ",2011-06-03,154
48.9,-124.88,54," 2011-06-03 02:17:30",0," None ",2011-06-03,154
48.89,-124.97,43," 2011-06-03 02:20:00",0," None ",2011-06-03,154
40.78,-122.46,57," 2011-06-03 02:20:00",0," None ",2011-06-03,154
49.07,-124.5,58," 2011-06-03 02:22:30",0," None ",2011-06-03,154
40.99,-123.01,20," 2011-06-03 02:25:00",0," None ",2011-06-03,154
48.97,-124.46,40," 2011-06-03 02:35:00",0," None ",2011-06-03,154
49,-124.39,44," 2011-06-03 02:45:00",0," None ",2011-06-03,154
48.93,-124.5,39," 2011-06-03 02:50:00",0," None ",2011-06-03,154
48.97,-124.635,60," 2011-06-03 02:57:30",0," None ",2011-06-03,154
40.93,-123.02,31," 2011-06-03 03:00:00",0," None ",2011-06-03,154
40.78,-122.93,20," 2011-06-03 03:10:00",0," None ",2011-06-03,154
40.755,-122.925,25," 2011-06-03 03:12:30",0," None ",2011-06-03,154
48.9,-124.64,27," 2011-06-03 03:15:00",0," None ",2011-06-03,154
48.905,-124.6,20," 2011-06-03 03:17:30",0," None ",2011-06-03,154
40.71,-122.88,31," 2011-06-03 03:17:30",0," None ",2011-06-03,154
40.765,-122.88,23," 2011-06-03 03:20:00",0," None ",2011-06-03,154
49,-124.39,43," 2011-06-03 03:22:30",0," None ",2011-06-03,154
48.89,-124.56,31," 2011-06-03 03:25:00",0," None ",2011-06-03,154
48.86,-124.65,21," 2011-06-03 03:27:30",0," None ",2011-06-03,154
48.895,-124.59,27," 2011-06-03 03:30:00",0," None ",2011-06-03,154
48.8,-124.72,20," 2011-06-03 03:37:30",0," None ",2011-06-03,154
48.92,-124.58,35," 2011-06-03 03:40:00",0," None ",2011-06-03,154
48.89,-124.585,30," 2011-06-03 03:42:30",0," None ",2011-06-03,154
48.92,-124.585,30," 2011-06-03 03:45:00",0," None ",2011-06-03,154
49.02,-124.48,25.5," 2011-06-03 03:50:00",0," None ",2011-06-03,154
49.03,-124.4,24," 2011-06-03 03:52:30",0," None ",2011-06-03,154
48.81,-124.71,20," 2011-06-03 03:57:30",0," None ",2011-06-03,154
48.82,-124.685,20," 2011-06-03 04:00:00",0," None ",2011-06-03,154
40.73,-123.07,52," 2011-06-03 04:15:00",0," None ",2011-06-03,154
40.875,-122.83,60," 2011-06-03 04:22:30",0," None ",2011-06-03,154
41.5,-123.7,25," 2011-06-03 04:45:00",0," None ",2011-06-03,154
40.88,-122.88,35," 2011-06-03 05:15:00",0," None ",2011-06-03,154
40.87,-122.84,37," 2011-06-03 05:17:30",0," None ",2011-06-03,154
48.83,-124.9,40," 2011-06-03 05:20:00",0," None ",2011-06-03,154
40.89,-122.91,31.5," 2011-06-03 05:20:00",0," None ",2011-06-03,154
40.92,-122.87,34," 2011-06-03 05:22:30",0," None ",2011-06-03,154
40.785,-122.475,60," 2011-06-03 05:25:00",0," None ",2011-06-03,154
40.9,-122.82,42.5," 2011-06-03 05:35:00",0," None ",2011-06-03,154
40.89,-122.83,32," 2011-06-03 05:37:30",0," None ",2011-06-03,154
48.885,-124.86,54," 2011-06-03 05:40:00",0," None ",2011-06-03,154
48.9,-124.59,31," 2011-06-03 05:42:30",0," None ",2011-06-03,154
40.9,-122.85,40," 2011-06-03 05:42:30",0," None ",2011-06-03,154
48.87,-124.655,31.5," 2011-06-03 05:45:00",0," None ",2011-06-03,154
40.9,-122.79,41," 2011-06-03 05:45:00",0," None ",2011-06-03,154
48.89,-124.66,22," 2011-06-03 05:47:30",0," None ",2011-06-03,154
40.91,-122.76,41," 2011-06-03 05:47:30",0," None ",2011-06-03,154
48.925,-124.51,33," 2011-06-03 05:50:00",0," None ",2011-06-03,154
40.84,-122.715,29," 2011-06-03 05:50:00",0," None ",2011-06-03,154
48.92,-124.49,35.5," 2011-06-03 05:52:30",0," None ",2011-06-03,154
40.89,-122.79,29," 2011-06-03 05:52:30",0," None ",2011-06-03,154
40.89,-122.77,31," 2011-06-03 05:55:00",0," None ",2011-06-03,154
40.89,-122.78,33," 2011-06-03 05:57:30",0," None ",2011-06-03,154
48.9,-124.57,36," 2011-06-03 06:00:00",0," None ",2011-06-03,154
40.89,-122.795,30.5," 2011-06-03 06:00:00",0," None ",2011-06-03,154
48.98,-124.4,46," 2011-06-03 06:02:30",0," None ",2011-06-03,154
40.855,-122.68,38.5," 2011-06-03 06:02:30",0," None ",2011-06-03,154
48.92,-124.56,29," 2011-06-03 06:05:00",0," None ",2011-06-03,154
40.88,-122.77,33," 2011-06-03 06:05:00",0," None ",2011-06-03,154
48.905,-124.58,24," 2011-06-03 06:07:30",0," None ",2011-06-03,154
40.9,-122.9,36," 2011-06-03 06:07:30",0," None ",2011-06-03,154
48.91,-124.485,20," 2011-06-03 06:10:00",0," None ",2011-06-03,154
48.88,-124.54,20," 2011-06-03 06:12:30",0," None ",2011-06-03,154
40.79,-122.55,41," 2011-06-03 06:12:30",0," None ",2011-06-03,154
48.915,-124.615,33," 2011-06-03 06:17:30",0," None ",2011-06-03,154
48.915,-124.62,33," 2011-06-03 06:20:00",0," None ",2011-06-03,154
40.91,-122.79,20," 2011-06-03 06:20:00",0," None ",2011-06-03,154
40.9,-122.77,20," 2011-06-03 06:22:30",0," None ",2011-06-03,154
40.795,-122.48,60," 2011-06-03 06:27:30",0," None ",2011-06-03,154
48.93,-124.69,49," 2011-06-03 06:30:00",0," None ",2011-06-03,154
40.88,-122.72,32," 2011-06-03 06:32:30",0," None ",2011-06-03,154
40.83,-122.73,41," 2011-06-03 06:42:30",0," None ",2011-06-03,154
40.88,-122.74,44," 2011-06-03 06:50:00",0," None ",2011-06-03,154
48.82,-124.9,38," 2011-06-03 06:55:00",0," None ",2011-06-03,154
40.82,-122.68,48," 2011-06-03 06:55:00",0," None ",2011-06-03,154
40.815,-122.7,60," 2011-06-03 06:57:30",0," None ",2011-06-03,154
40.79,-122.67,60," 2011-06-03 07:00:00",0," None ",2011-06-03,154
40.76,-122.74,41," 2011-06-03 07:05:00",0," None ",2011-06-03,154
40.75,-122.5,52," 2011-06-03 07:07:30",0," None ",2011-06-03,154
40.75,-122.5,55," 2011-06-03 07:10:00",0," None ",2011-06-03,154
40.77,-122.48,60," 2011-06-03 07:12:30",0," None ",2011-06-03,154
40.75,-122.5,57," 2011-06-03 07:15:00",0," None ",2011-06-03,154
40.9,-122.92,20," 2011-06-03 07:27:30",0," None ",2011-06-03,154
40.97,-122.98,20," 2011-06-03 07:30:00",0," None ",2011-06-03,154
40.925,-122.77,45.5," 2011-06-03 07:32:30",0," None ",2011-06-03,154
40.89,-122.73,45," 2011-06-03 07:35:00",0," None ",2011-06-03,154
40.95,-122.86,20," 2011-06-03 07:37:30",0," None ",2011-06-03,154
40.94,-122.85,20," 2011-06-03 07:40:00",0," None ",2011-06-03,154
40.98,-122.61,53.5," 2011-06-03 07:42:30",0," None ",2011-06-03,154
40.9,-122.7,49," 2011-06-03 07:45:00",0," None ",2011-06-03,154
40.9,-122.8,26.5," 2011-06-03 07:47:30",0," None ",2011-06-03,154
40.86,-122.8,30.5," 2011-06-03 07:55:00",0," None ",2011-06-03,154
40.71,-122.7,44," 2011-06-03 08:00:00",0," None ",2011-06-03,154
40.73,-122.84,32," 2011-06-03 08:10:00",0," None ",2011-06-03,154
40.89,-122.73,43," 2011-06-03 08:15:00",0," None ",2011-06-03,154
40.87,-122.8,37," 2011-06-03 08:17:30",0," None ",2011-06-03,154
40.845,-122.835,20," 2011-06-03 08:20:00",0," None ",2011-06-03,154
40.88,-122.78,31," 2011-06-03 08:22:30",0," None ",2011-06-03,154
40.86,-122.84,29," 2011-06-03 08:25:00",0," None ",2011-06-03,154
40.85,-122.82,20," 2011-06-03 08:30:00",0," None ",2011-06-03,154
40.87,-122.77,29," 2011-06-03 08:32:30",0," None ",2011-06-03,154
40.88,-122.89,20," 2011-06-03 08:35:00",0," None ",2011-06-03,154
40.83,-122.82,25," 2011-06-03 08:37:30",0," None ",2011-06-03,154
40.89,-122.82,29," 2011-06-03 08:40:00",0," None ",2011-06-03,154
40.815,-122.875,35.5," 2011-06-03 08:45:00",0," None ",2011-06-03,154
40.86,-122.81,46," 2011-06-03 08:47:30",0," None ",2011-06-03,154
40.85,-122.89,27," 2011-06-03 08:50:00",0," None ",2011-06-03,154
40.87,-122.88,20," 2011-06-03 08:52:30",0," None ",2011-06-03,154
40.8,-122.775,21," 2011-06-03 08:55:00",0," None ",2011-06-03,154
40.81,-122.83,20," 2011-06-03 09:00:00",0," None ",2011-06-03,154
40.81,-122.8,27," 2011-06-03 09:02:30",0," None ",2011-06-03,154
40.86,-122.835,60," 2011-06-03 09:05:00",0," None ",2011-06-03,154
40.87,-122.955,29.5," 2011-06-03 09:07:30",0," None ",2011-06-03,154
40.83,-122.93,29," 2011-06-03 09:10:00",0," None ",2011-06-03,154
40.88,-122.86,20," 2011-06-03 09:17:30",0," None ",2011-06-03,154
40.82,-123.01,20," 2011-06-03 09:20:00",0," None ",2011-06-03,154
40.77,-123,20," 2011-06-03 09:22:30",0," None ",2011-06-03,154
40.78,-122.785,24," 2011-06-03 09:35:00",0," None ",2011-06-03,154
40.84,-122.79,33," 2011-06-03 09:37:30",0," None ",2011-06-03,154
40.89,-122.82,33.5," 2011-06-03 09:40:00",0," None ",2011-06-03,154
40.8,-122.96,20," 2011-06-03 09:42:30",0," None ",2011-06-03,154
40.83,-122.895,20," 2011-06-03 09:45:00",0," None ",2011-06-03,154
40.87,-122.89,33," 2011-06-03 09:47:30",0," None ",2011-06-03,154
40.86,-122.92,30," 2011-06-03 09:50:00",0," None ",2011-06-03,154
40.8,-122.88,21," 2011-06-03 09:52:30",0," None ",2011-06-03,154
40.77,-122.88,20," 2011-06-03 09:55:00",0," None ",2011-06-03,154
40.785,-122.93,27," 2011-06-03 09:57:30",0," None ",2011-06-03,154
40.78,-122.975,20," 2011-06-03 10:00:00",0," None ",2011-06-03,154
40.925,-122.89,20," 2011-06-03 10:07:30",0," None ",2011-06-03,154
40.9,-122.78,31," 2011-06-03 10:10:00",0," None ",2011-06-03,154
40.88,-122.78,27," 2011-06-03 10:12:30",0," None ",2011-06-03,154
40.79,-122.96,34," 2011-06-03 10:15:00",0," None ",2011-06-03,154
40.78,-123.02,34," 2011-06-03 10:17:30",0," None ",2011-06-03,154
40.82,-122.9,20," 2011-06-03 10:27:30",0," None ",2011-06-03,154
40.875,-122.9,20," 2011-06-03 10:30:00",0," None ",2011-06-03,154
40.89,-122.88,20," 2011-06-03 10:32:30",0," None ",2011-06-03,154
40.77,-122.91,20," 2011-06-03 10:42:30",0," None ",2011-06-03,154
40.73,-123,20," 2011-06-03 10:45:00",0," None ",2011-06-03,154
40.7,-122.94,20," 2011-06-03 10:47:30",0," None ",2011-06-03,154
40.7,-122.93,20," 2011-06-03 10:50:00",0," None ",2011-06-03,154
40.675,-123.03,20," 2011-06-03 10:52:30",0," None ",2011-06-03,154
40.68,-122.95,20," 2011-06-03 10:55:00",0," None ",2011-06-03,154
40.7,-122.92,40," 2011-06-03 10:57:30",0," None ",2011-06-03,154
40.71,-122.92,23.5," 2011-06-03 11:00:00",0," None ",2011-06-03,154
